unit,sizen_r2,indic_is,geo\time	2016 	2015 	2014 
PC_ENT,10_C10_18,E_CC,AT	11 	: 	10 
PC_ENT,10_C10_18,E_CC,BE	25 	22 	17 
PC_ENT,10_C10_18,E_CC,BG	3 	3 	5 
PC_ENT,10_C10_18,E_CC,CY	4 	6 	5 
PC_ENT,10_C10_18,E_CC,CZ	16 	: 	14 
PC_ENT,10_C10_18,E_CC,DE	13 	: 	8 
PC_ENT,10_C10_18,E_CC,DK	42 	36 	32 
PC_ENT,10_C10_18,E_CC,EA	16 	: 	18 
PC_ENT,10_C10_18,E_CC,EE	21 	: 	10 
PC_ENT,10_C10_18,E_CC,EL	8 	6 	: u
PC_ENT,10_C10_18,E_CC,ES	16 	11 	12 
PC_ENT,10_C10_18,E_CC,EU15	18 	: 	19 
PC_ENT,10_C10_18,E_CC,EU27	15 	: 	15 
PC_ENT,10_C10_18,E_CC,EU28	15 	: 	15 
PC_ENT,10_C10_18,E_CC,FI	56 	47 	47 
PC_ENT,10_C10_18,E_CC,FR	14 	: 	7 
PC_ENT,10_C10_18,E_CC,HR	18 	17 	18 
PC_ENT,10_C10_18,E_CC,HU	9 	8 	4 
PC_ENT,10_C10_18,E_CC,IE	40 	32 	30 
PC_ENT,10_C10_18,E_CC,IS	: 	: 	40 
PC_ENT,10_C10_18,E_CC,IT	17 b	: 	38 
PC_ENT,10_C10_18,E_CC,LT	14 	15 	10 
PC_ENT,10_C10_18,E_CC,LU	22 	: 	11 
PC_ENT,10_C10_18,E_CC,LV	6 	6 	4 
PC_ENT,10_C10_18,E_CC,MK	7 	: 	9 
PC_ENT,10_C10_18,E_CC,MT	18 	22 	16 
PC_ENT,10_C10_18,E_CC,NL	30 	: 	21 
PC_ENT,10_C10_18,E_CC,NO	34 	32 	23 
PC_ENT,10_C10_18,E_CC,PL	5 	4 	4 
PC_ENT,10_C10_18,E_CC,PT	11 	: 	8 
PC_ENT,10_C10_18,E_CC,RO	5 	5 	5 
PC_ENT,10_C10_18,E_CC,RS	: 	: 	2 
PC_ENT,10_C10_18,E_CC,SE	44 	: 	34 
PC_ENT,10_C10_18,E_CC,SI	15 	15 	7 
PC_ENT,10_C10_18,E_CC,SK	15 	21 	16 
PC_ENT,10_C10_18,E_CC,TR	10 	: 	: 
PC_ENT,10_C10_18,E_CC,UK	37 	: 	20 
PC_ENT,10_C10_18,E_CCX,AT	88 	: 	87 
PC_ENT,10_C10_18,E_CCX,BE	75 	77 	78 
PC_ENT,10_C10_18,E_CCX,BG	86 	84 	82 
PC_ENT,10_C10_18,E_CCX,CY	93 	85 	86 
PC_ENT,10_C10_18,E_CCX,CZ	81 	: 	82 
PC_ENT,10_C10_18,E_CCX,DE	76 	: 	87 
PC_ENT,10_C10_18,E_CCX,DK	58 	64 	67 
